gyro_x,gyro_y,gyro_z
0.629,1.769,1.922
0.7768,1.866,1.92
0.6986,1.67,1.766
0.5215,1.281,1.435
0.1818,0.7883,0.894
-0.4168,0.2153,0.2709
-0.9263,-0.3968,-0.2752
-1.676,-0.9673,-0.7492
-2.177,-1.429,-1.11
-2.51,-1.798,-1.371
-2.865,-2.044,-1.565
-3.442,-2.276,-1.742
-4.405,-2.272,-1.675
-4.302,-1.901,-1.173
-2.543,-1.228,-0.1615
-1.064,-0.5104,1.004
-0.2531,0.1787,1.95
-0.005093,0.6441,2.706
-0.03319,0.919,3.188
-0.1798,1.062,3.258
-0.4657,1.066,3.027
-0.8371,0.9838,2.585
-1.011,0.8604,1.934
-1.033,0.7211,1.113
-0.9776,0.522,0.2856
-0.897,0.2801,-0.4059
-0.7198,0.06016,-0.9422
-0.5622,-0.1585,-1.378
-0.3924,-0.3283,-1.83
-0.2384,-0.4969,-2.369
-0.06251,-0.6729,-2.931
1.121,-0.8598,-3.267
1.87,-1.116,-3.123
0.541,-1.231,-2.833
-0.8774,-1.036,-2.022
-1.497,-0.5128,-0.7993
-0.5976,0.007628,0.3614
-0.1468,0.3717,1.19
-0.313,0.7321,1.89
-0.7711,1.08,2.596
-1.102,1.297,3.274
-0.9226,1.283,3.549
-0.4119,1.168,3.274
-0.1737,1.033,2.626
-0.5817,0.8347,1.841
-1.276,0.5464,1.141
-1.67,0.2532,0.5947
-1.366,0.00885,0.1671
-0.5952,-0.172,-0.3558
-0.1712,-0.3479,-0.9911
-0.1468,-0.5385,-1.634
-0.3105,-0.7071,-2.207
-0.4095,-0.8183,-2.713
-0.3203,-0.861,-3.127
0.045,-0.8427,-3.321
0.4812,-0.8366,-3.155
0.4897,-0.8231,-2.5
0.1623,-0.6655,-1.598
-0.4877,-0.3687,-0.5598
-0.3423,-0.02536,0.4041
-0.192,0.3522,1.168
0.3382,0.781,1.768
0.6827,1.148,2.217
0.9417,1.399,2.543
1.044,1.492,2.795
0.899,1.367,2.861
0.5361,1.066,2.51
-0.0002062,0.781,1.801
-0.5549,0.401,0.9967
-1.053,0.04306,0.2881
-1.279,-0.2599,-0.2092
-1.102,-0.4982,-0.6014
-0.787,-0.6912,-0.9593
-0.6208,-0.839,-1.304
-0.5219,-0.9636,-1.642
-0.418,-1.041,-2.004
-0.2727,-1.092,-2.336
-0.2446,-1.081,-2.485
-0.2946,-0.9808,-2.262
-0.4315,-0.8146,-1.663
-0.8346,-0.5959,-0.7321
-0.6795,-0.2929,0.2624
-0.28,0.04672,1.022
0.2283,0.3913,1.6
0.6241,0.6747,1.925
0.8,0.8885,2.016
0.7536,1.019,1.959
0.6033,1.057,1.846
0.4922,1.039,1.711
0.4152,0.8555,1.334
0.392,0.6649,0.8012
-0.06129,0.4084,0.2929
-0.4058,0.09926,-0.1738
-0.3899,-0.2098,-0.5891
-0.2103,-0.5031,-0.9459
-0.181,-0.7596,-1.278
-0.2348,-0.9233,-1.51
-0.3655,-1,-1.529
-0.335,-0.9844,-1.419
-0.181,-0.9111,-1.297
-0.00265,-0.7657,-1.198
0.1745,-0.6179,-1.025
0.1953,-0.365,-0.649
0.1476,0.03206,0.004612
0.1488,0.4768,0.6668
0.3822,0.9044,1.164
0.7536,1.29,1.44
1.24,1.515,1.489
1.467,1.553,1.349
1.368,1.414,1.08
0.9442,1.126,0.7291
0.6791,0.7431,0.4518
0.651,0.3216,0.2929
0.06577,-0.1194,0.1549
-0.4694,-0.5788,-0.1163
-0.6807,-0.9685,-0.5171
-0.9092,-1.248,-0.9263
-1.174,-1.432,-1.26
-1.318,-1.517,-1.452
-1.068,-1.378,-1.387
-0.5756,-1.064,-1.125
-0.05152,-0.6545,-0.6967
-0.1615,-0.1671,-0.1738
-0.08206,0.4413,0.4811
0.2869,0.9557,1.027
1,1.453,1.339
1.371,1.751,1.397
1.545,1.834,1.291
1.44,1.681,1.063
0.7243,1.348,0.8
0.02056,0.952,0.5629
-0.3179,0.5269,0.3394
-0.2617,0.07482,0.0828
-0.07229,-0.3894,-0.2239
-0.1065,-0.8415,-0.5696
-0.4755,-1.23,-0.9312
-0.8872,-1.502,-1.298
-1.187,-1.647,-1.596
-1.325,-1.64,-1.79
-1.2,-1.507,-1.839
-0.6196,-1.23,-1.625
-0.2971,-0.8745,-1.174
-0.1859,-0.3601,-0.4804
