acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,activity
-9.309,-3.082,3.157,-0.7076,1.016,0.3125,0
-9.547,0.6131,-1.545,-1.187,1.58,0.7071,0
-8.778,-1.095,-1.277,-1.982,2.25,1.208,0
-9.19,0.2491,0.002395,-2.471,3.08,1.647,0
-9.06,-3.88,0.9796,-2.675,3.532,2.011,0
-11.85,-2.709,1.758,-2.328,4.056,2.438,0
-8.318,-0.3664,-1.638,-2.644,4.004,2.494,0
-10.35,-1.346,0.01677,-2.001,3.672,2.294,0
-14.19,-2.275,3.475,-1.288,3.044,1.845,0
-13.51,-1.128,0.3066,-0.1493,2.567,1.523,0
-9.463,-1.521,-0.5221,-0.3618,2.022,1.126,0
-11.33,-1.801,0.7401,-1.042,1.453,0.8354,0
-10.46,-2.654,4.946,-1.58,0.858,0.5788,0
-8.129,-1.803,0.115,-1.927,0.2532,0.2233,0
-13.13,-1.166,1.851,-1.553,-0.266,-0.2165,0
-12.8,-2.57,1.753,-0.8554,-0.6985,-0.6979,0
-9.697,-2.972,4.555,-0.3093,-1.059,-1.173,0
-10.53,-2.721,3.396,0.02423,-1.363,-1.569,0
-13.95,-2.314,2.738,0.1904,-1.621,-1.868,0
-13.34,-1.569,2.383,0.1855,-1.819,-2.083,0
-1.396,1.267,10.28,0.1513,-1.918,-2.254,0
-10.17,-1.971,2.273,0.08531,-1.965,-2.401,0
-11.82,-2.577,2.644,-0.08817,-1.901,-2.544,0
-12.41,-2.026,-0.9556,-0.02098,-1.786,-2.644,0
-9.171,-0.04072,-1.317,0.02423,-1.575,-2.429,0
-7.676,1.102,-3.032,-0.2959,-1.098,-1.622,0
-13.12,-2.203,2.572,-0.8249,-0.5287,-0.6502,0
-11.47,-2.23,1.641,-1.5,-0.01925,0.3357,0
-12.34,-1.142,-0.4048,-1.46,0.4145,1.093,0
-15.24,-5.082,-3.284,-0.3789,0.8946,1.761,0
-11.15,-1.916,3.104,0.6876,1.391,2.349,0
-9.865,0.7616,-1.289,1.184,1.883,2.738,0
-9.712,-1.7,-0.2706,1.385,2.311,2.942,0
-7.717,-3.243,3.585,1.544,2.511,2.824,0
-9.594,-1.744,3.391,0.756,2.352,2.4,0
-9.705,-3.272,0.479,0.1159,1.954,1.975,0
-8.742,-4.716,3.638,-0.28,1.496,1.351,0
-14.26,-0.5556,-0.3257,-0.7907,0.9789,0.6815,0
-9.532,-4.328,3.597,-1.046,0.4597,0.1512,0
-1.665,1.332,9.554,-0.9654,-0.02414,-0.2727,0
